ID,Issue_name,Contents,Contentes(Spec),관련 산업,산업 이유,Start_date,Fin_date,근거자료
PN_011,중국 증시 폭락 및 위안화 평가절하,2015년 중반 이후 중국 증시 급락과 위안화 절하로 글로벌 금융시장이 충격,"2015년 6월부터 시작된 중국 증시의 급락은 8월 중순 인민은행의 위안화 평가절하 발표와 맞물려 전 세계 금융시장의 변동성을 키웠다. 특히 원자재 수요 둔화 우려와 신흥국 경기 둔화 가능성으로 인해 글로벌 수출 의존도가 높은 한국 기업들의 실적 부진 우려가 확산되었고, 코스피도 이에 따라 큰 폭 하락하였다. 외국인 자금 유출과 함께 원화 약세가 심화되며 환율과 수출 관련 종목 중심으로 주가 조정이 나타났다.","전기전자, 화학, 운송장비·부품","중국의 내수 및 수출 둔화는 한국의 주요 수출 대상 산업군에 직접적 타격을 준다. 특히 반도체, 석유화학, 자동차 부품 등은 중국 수요 감소에 따라 실적이 타격을 받고, 원화 약세에 따른 환차손 우려도 동반되었다.",Jun-15,Sep-15,"KRX Market 2015년 하반기, BoK 금융안정보고서"
PN_012,브렉시트 국민투표 통과,영국의 유럽연합 탈퇴 결정으로 글로벌 금융시장에 충격,"2016년 6월 23일, 영국의 국민투표 결과 EU 탈퇴(Brexit)가 확정되자 글로벌 금융시장에 대혼란이 발생했다. 안전자산 선호로 엔화와 달러화가 급등하고, 주요국 증시는 급락세를 보였으며, 국내 시장도 외국인 매도 확대와 함께 환율 급등 및 금융주, 수출주 중심의 조정이 나타났다. 이후 유럽 정치 불확실성에 대한 우려가 이어지며 글로벌 경기 위축 우려가 증대되었다.","증권, 은행, 운송장비·부품","금융업종은 글로벌 불확실성 증가에 따른 외국인 자금 이탈로 직접적인 영향을 받으며, 유로존 경기 둔화 우려는 한국의 유럽 수출 비중이 큰 자동차, 자동차부품 산업에 부정적 영향을 미쳤다.",Jun-16,Jul-16,"KRX Market 2016년 하반기, 정책브리핑 경제분석"
PN_013,미국 대선 트럼프 당선과 트럼프노믹스 부상,감세·인프라 확대·보호무역 중심의 경제정책 기대가 시장에 반영,"2016년 11월 미국 대선에서 도널드 트럼프 후보가 당선되며 감세와 인프라 투자 확대, 보호무역 강화 등 ‘트럼프노믹스’가 부상하였다. 이에 따라 미국 금리가 급등하고 달러 강세가 이어졌으며, 인프라·소재·금융 업종 중심의 순환매가 나타났다. 국내 시장에서도 철강, 건설, 증권 업종이 강세를 보였고, 반면 보호무역 강화 우려로 IT와 수출 중심의 제조업은 조정을 받았다.","건설, 금속, 증권, IT 서비스","트럼프 정부의 인프라 투자 기대감은 철강·시멘트·건설 산업에 수혜로 작용하며, 금리 상승 기대는 증권·은행주에 긍정적으로 작용. 반면, 보호무역 우려로 기술주 중심의 수출 업종은 부정적 평가가 이루어졌다.",Nov-16,Dec-16,정책브리핑 2016년 11월 / KRX 마켓지 2016년 겨울호
PN_014,반도체 슈퍼사이클과 수출 급증,글로벌 반도체 수요 확대에 따른 한국 수출 및 기업 실적 호조,"2017년부터 글로벌 데이터센터, 스마트폰, 클라우드 수요가 폭증하며 D램과 낸드 가격이 급등했고, 이에 따라 삼성전자·SK하이닉스를 중심으로 반도체 산업의 영업이익이 사상 최대치를 경신했다. 수출 호조는 국내 경제 전체에 긍정적으로 작용하며, 코스피가 사상 최고치를 경신하는 등 전반적 랠리를 견인하였다.",전기전자,"글로벌 반도체 호황은 한국 경제의 핵심 산업인 반도체 기업들의 실적을 크게 개선시켰으며, 코스피 시가총액 비중이 높은 해당 업종이 전체 시장을 견인하는 효과를 냈다.",Jan-17,Mar-18,한국은행 경제전망보고서 / KRX 마켓지 2017년 상반기
PN_015,미중 무역분쟁 격화,관세 인상과 보복 조치가 반복되며 글로벌 공급망 불안이 커짐,"2018년부터 미국이 중국산 제품에 고율 관세를 부과하고, 중국이 보복관세로 대응하면서 미중 무역 갈등이 격화되었다. 이는 글로벌 교역 위축과 기업 실적 둔화 우려로 이어졌고, 한국 역시 주요 수출국으로서 타격을 입었다. 특히 IT, 반도체, 화학 등 중간재 산업의 피해가 컸다.","전기전자, 화학, 운송장비·부품",미중 간 관세 보복은 글로벌 공급망에 혼선을 주며 중간재 수출 중심의 산업에 큰 타격을 준다. 특히 한국은 중국에 대한 중간재 수출 비중이 높은 구조로 인해 실적 악화와 주가 하락을 경험하였다.,Apr-18,Oct-19,KRX 마켓지 2018~2019년 / 온국민투자가이드
PN_016,코로나19 팬데믹 발발,글로벌 공급망 붕괴와 금융시장 급변동을 초래한 복합 위기,"2020년 1분기부터 코로나19가 전 세계로 급속히 확산되며 팬데믹이 공식 선언되었고, 이에 따라 글로벌 금융시장과 실물 경제가 동반 충격을 받았다. 코스피는 3월 중순 1450선까지 하락했으며, 특히 여행·항공·외식 등 대면 서비스 산업과 제조업 공급망이 직격탄을 맞았다. 반면, 진단키트·비대면 산업은 오히려 반사이익을 누리며 주목을 받았다.","운송·창고, 음식료, 의료·정밀기기, IT 서비스","봉쇄조치와 이동 제한은 항공·물류·외식 산업의 수익성을 급격히 약화시킨 반면, 코로나19 대응에 필수적인 진단키트 및 백신 관련 기업, 그리고 원격근무·전자상거래 플랫폼 기업들은 성장 기대감으로 강세를 나타냈다.",Jan-20,Jun-20,질병청 보도자료 / 한국은행 금융안정보고서 / KRX 마켓지 2020년 상반기
PN_017,미국 기준금리 인상 개시,"2008년 금융위기 이후 7년간 이어지던 제로금리 기조가 종료되며 글로벌 유동성 환경에 변화가 발생. 연준은 2015년 12월, 기준금리를 0.25%포인트 인상하며 금리 정상화의 첫 걸음을 내디뎠다.","금리 인상은 신흥국 자금이탈과 함께 증시의 변동성을 확대시켰으며, 특히 금리 민감 업종 및 외국인 투자 의존도가 높은 한국 시장에 영향을 줌. 외국인 자금 유출 증가로 코스피 약세 지속.","증권, 보험, 건설","금리 인상은 유동성 축소로 이어져 투자심리 위축과 자산가격 조정을 야기하며, 증권 및 부동산 관련 산업에 부정적. 반면 보험업은 이자수익 확대 기대.",Dec-15,Dec-15,한국은행 기준금리 발표 / KRX 시장동향
PN_018,그리스 디폴트 우려 및 유로존 불안,"2015년 상반기, 그리스의 채무불이행 가능성과 유로존 탈퇴 우려가 금융시장에 충격을 주며 글로벌 주가 급락. ECB와의 협상 실패 시나리오가 현실화될 위기에 직면하며 유럽계 자금의 위험자산 회피가 본격화됨.","7월, 그리스는 IMF 채무를 상환하지 못하며 사실상 디폴트 상태에 진입. 이는 유럽 경기 회복에 대한 불신을 초래했고, 안전자산 선호 심리가 확산되어 한국을 포함한 신흥국 주식시장에서 외국인 매도세 강화.","금융, 운송·창고","글로벌 리스크 확대는 금융업의 투자심리 위축, 운송·물류 수요 둔화 등으로 이어지며 실적 부진과 주가 약세를 초래.",Jun-15,Jul-15,Bloomberg / KRX Market지
PN_019,메르스 사태 확산,"2015년 5월부터 국내에서 중동호흡기증후군(MERS)이 확산되며 국민 불안과 소비 위축, 관광객 감소가 동반되었음. 내수 및 서비스업 중심으로 경제 전반에 충격이 가해짐.","확진자 및 격리자가 급증하면서 국내 유통, 외식, 여행업종이 직격탄을 맞았고, 반면 진단키트 및 백신 관련 기업은 수혜를 입음. 정부는 소비 쿠폰 등으로 대응에 나섰음.","의료·정밀기기, 오락·문화, 음식료·담배","진단·의료기기 기업은 방역 수요 확대로 수혜. 반면, 오프라인 소비업종은 외부활동 위축으로 큰 타격.",May-15,Jul-15,질병관리청 / KRX 시장동향
PN_020,2016년 초 글로벌 증시 급락,국제유가 하락과 중국 증시 불안으로 글로벌 증시가 1~2월 큰 폭 하락,"2016년 1~2월, 국제유가가 배럴당 30달러 이하로 급락하고, 중국의 경기둔화 우려가 커지면서 글로벌 금융시장의 불확실성이 증대되었다. KOSPI는 2월 12일 1,835p까지 하락했고, 외국인은 약 5.7조원의 순매도를 기록했다. 그러나 이후 국제유가 반등과 유럽중앙은행(ECB)의 통화완화 기대감으로 시장은 점차 회복세를 보였다.","화학, 운송장비·부품","유가 하락은 에너지 관련 화학 산업의 수익성에 영향을 주었으며, 글로벌 경기 둔화 우려는 자동차·기계 등 수출산업에 부정적인 영향을 끼쳤다. 중국의 경기 불안은 대중 수출 비중이 큰 국내 제조업에 영향을 주었고, 외국인 자금 이탈은 증시 전반의 하락 요인이 되었다.",Jan-16,Mar-16,한국은행 금융안정보고서 2016년 6월 / KB투자 가이드 1월
PN_021,미국 연준의 금리 인상 우려,연준의 금리 인상 신호로 인해 달러 강세 및 신흥국 자금 유출 우려 확대,"미국 연준이 기준금리 인상 사이클에 돌입하면서, 신흥국에서 자금이 유출될 수 있다는 우려가 부각되었다. 이는 원화 약세를 유도하고 외국인 자금 이탈을 가속화시켰으며, 원자재·금속 산업에 부정적인 영향을 미쳤다. 하지만 금리 인상 속도가 완만할 것으로 전망되며 일부 위험자산 투자심리는 회복세를 보였다.","증권, 금속","금리 인상은 금리 민감 업종인 증권 산업에 직접적인 영향을 주며, 외국인 자금 유출은 원자재 수요 둔화와 연결되어 금속·광물 산업의 수익성에 타격을 준다. 또한 금리 인상은 전체적인 금융시장 유동성 축소 요인으로 작용하여 투자 심리에 부정적이었다.",Jan-16,Apr-16,KB 투자 가이드 2016.1 / KRX 마켓지 2016.2
PN_022,브렉시트 국민투표로 인한 시장 충격,영국의 유럽연합 탈퇴(Brexit) 결정으로 글로벌 금융시장에 큰 파장 발생,"2016년 6월 23일, 영국의 국민투표 결과 EU 탈퇴가 결정되며 파운드화 가치가 폭락하고, 글로벌 주식시장이 급락했다. KOSPI도 단기 조정을 받았으나, 이후 브렉시트의 실제 경제적 충격이 완화되면서 점차 회복세를 보였다. 글로벌 교역 및 금융시스템에 대한 불확실성은 증폭되었다.","은행, 운송·창고",브렉시트는 유럽 내 교역 감소와 금융허브 이동 가능성으로 은행업 및 유럽 의존도가 높은 산업에 부정적이었다. 특히 글로벌 물류와 수출입 구조가 얽힌 운송산업은 유럽 수요 둔화 우려에 따라 수익성 악화 가능성이 제기되었다.,Jun-16,Jul-16,온국민투자가이드 6월 / 한국은행 금융안정보고서 2016.6
PN_023,유가 반등 및 자원국 회복 기대,국제유가의 반등과 함께 자원 수출국 및 관련 산업에 회복 기대감 확산,"2016년 상반기 저점을 찍은 국제유가는 6월 이후 반등세로 전환되었고, 이는 자원 수출국의 경기 회복 기대를 자극했다. 동시에 석유화학, 철강, 해운 등 원자재 기반 산업군은 유가 반등에 따라 실적 개선이 기대되었다. 에너지 가격 안정은 물가 및 기업비용 측면에서 긍정적 요인으로 작용하였다.","화학, 금속, 운송·창고","유가 반등은 화학 원재료 단가 상승을 반영하나, 유가 급락기 대비 안정적인 수요와 공급 구조에서 실적 안정성을 제공했다. 또한 철강과 비철금속 등 원자재 수요 회복이 예상되며 해운·물류 산업의 운임 회복에도 긍정적인 기대가 형성되었다.",Jun-16,Dec-16,한국은행 경제전망보고서 2016.10 / KRX 마켓지 2016.4~10호
PN_024,미국 트럼프 정부 출범 및 정책 기대,"트럼프 대통령 취임과 함께 감세, 인프라 투자 등 친기업 정책 기대가 형성됨","2017년 1월 트럼프 대통령 취임 직후 미국 내 감세 및 규제 완화, 대규모 인프라 투자 정책이 기대되면서 글로벌 증시가 강세를 보였다. 특히 미국 인프라 확대에 따른 철강·기계 수요 증가, 법인세 인하에 따른 기업 이익 개선 기대가 반영되었고, 국내 수출기업도 글로벌 경기 회복에 따른 수혜 기대가 높아졌다. KOSPI는 연중 최고치를 경신하며 강세를 나타냄.","건설, 기계, 금속","미국 인프라 정책은 글로벌 철강, 기계, 장비 수요를 자극하여 관련 산업에 긍정적 영향을 준다. 수출 비중이 높은 국내 기업은 미국 경기 회복과 함께 이익 증가 기대감이 형성되었고, 이에 따라 중공업 및 수출 제조업 전반에 긍정적인 투자심리가 유입되었다.",Jan-17,Mar-17,온국민투자가이드 2017.1 / KRX 마켓지 2017년 상반기
PN_025,북한 미사일 도발과 지정학 리스크 부각,북한의 미사일 도발이 반복되며 지정학적 리스크가 증시에 악영향을 미침,"2017년 8월, 북한은 중장거리 탄도미사일(ICBM)을 발사하며 미국과의 긴장이 고조되었다. 이에 따라 코스피가 급락하고 외국인 투자 자금이 유출되었으며, 방산 관련주가 급등하는 반면 소비, 운송 등 민감 업종은 하락세를 보였다. 투자자들은 안전자산 선호로 금·달러 자산으로 이동하였다.","오락·문화, 운송·창고","안보 위협은 내수 소비 위축, 항공 및 여행 수요 감소로 이어지며 관련 산업의 수익성에 타격을 준다. 반면 방위산업은 정부의 국방비 확대 기대와 방산 수출 증가 가능성으로 긍정적 반응을 얻었다.",Aug-17,Sep-17,언론 보도 / KRX 증시브리프 2017.3분기
PN_026,중국의 사드 보복과 한한령 이슈,중국 정부의 사드 배치 반발로 한국 기업에 대한 경제적 보복 조치 강화,"2017년 3월 한국의 고고도미사일방어체계(THAAD) 배치에 대한 보복으로, 중국은 한국 기업에 대한 규제를 강화하고 한류 콘텐츠, 화장품, 여행 관련 소비를 제한하였다. 이로 인해 면세점, 엔터, 화장품 업종이 급락했고, 전체 소비재 업종이 부진한 흐름을 보였다.","일반소비재, 오락·문화","중국 소비 의존도가 높은 산업(화장품, 패션, 면세점, 엔터테인먼트)은 직접적인 수출 차질과 매출 감소 영향을 받았다. K-콘텐츠 수출 감소와 중국 시장 제재로 인해 산업 전반의 실적과 투자심리가 약화되었다.",Mar-17,Dec-17,산업통상자원부 발표 / KRX 마켓지 2017.2분기
PN_027,반도체 수퍼사이클 진입,글로벌 반도체 수요 급증으로 메모리 가격 상승과 국내 기업 실적 호조,"2017년 글로벌 스마트폰, 서버, 클라우드 수요 확대에 따라 D램, 낸드플래시 등 메모리 반도체 가격이 급등하였다. 삼성전자, SK하이닉스 등 국내 반도체 기업의 분기 실적이 연속으로 사상 최고치를 경신하며 주가 급등을 견인하였다. 코스피 상장사의 이익 중 반도체 비중이 크게 증가하였다.",전기전자,"메모리 반도체는 한국 수출의 핵심 품목으로, 가격 상승과 수요 확대는 산업 실적 개선에 직결된다. 대규모 CAPEX 투자 확대, 글로벌 시장 점유율 상승 등이 맞물리며 반도체 산업은 전후방 연관산업까지 긍정적 영향을 미쳤다.",Apr-17,Dec-17,한국은행 경제전망보고서 / KRX 마켓지 2017 하반기
PN_028,국내 대선 및 정책 기대,조기 대선 실시로 정책 수혜 기대감 확대,"2017년 5월 조기 대선 실시로 문재인 정부가 출범하면서 공공부문 일자리 확대, 탈원전, 복지 확대 등의 공약이 시장에 영향을 미쳤다. 정책 테마주 중심으로 단기적인 주가 급등이 발생했고, 태양광, 풍력, 교육 등 공공정책과 연관된 업종에 투자자 관심이 집중되었다.","전기전자, 일반서비스","정책 기대감은 단기 테마성 흐름을 유도하며 특정 산업(예: 태양광, 공공고용, 교육 서비스 등)에 직접적인 수혜 기대를 형성한다. 공공부문 예산 확대는 관련 기업 매출 상승 가능성으로 연결되어 정책 연관 기업들에 긍정적 영향을 준다.",May-17,Jun-17,기획재정부 예산안 발표 / 온국민투자가이드 2017.5~6
